degree,specialization,gradyear,entryyear,school,country,city
博士号,理論物理学,2021年,2016年,アラバマ大学,アメリカ,タスカルーサ
学士号,工学物理学,2016年,2012年,コロラド鉱山大学,アメリカ,ゴールデン
