organization,start year,end year,position
CDIO Implementation Team of NIT Oyama,2025,present,CDIO Implementation Overseer
Physics and Astronomy Graduate Physics Association of the University of Alabama,2017,2021,President
Japanese American Cultural Exchange Club of the University of Alabama,2017,2020,Secretary
